"title","amount","category","type","date"
,120,"Food","expense","2025-12-13T00:00:00.000Z"
,2000,"Travel","expense","2025-12-01T00:00:00.000Z"
,60000,"Others","income","2025-11-11T00:00:00.000Z"
,5000,"Shopping","expense","2025-12-03T00:00:00.000Z"
,160,"Food","expense","2025-12-13T00:00:00.000Z"
,240,"Food","expense","2026-01-19T00:00:00.000Z"
,9876,"Others","expense","2026-01-16T00:00:00.000Z"
,1200,"Food","expense","2025-01-01T00:00:00.000Z"
,50,"Travel","expense","2025-01-02T00:00:00.000Z"
,350,"Entertainment","expense","2025-01-04T00:00:00.000Z"
,600,"Food","expense","2025-01-08T00:00:00.000Z"
